subject,relation,object
3时,暴雨洪涝造成了损失,人
3时,暴雨洪涝造成了损失,民房
内蒙古,暴雨洪涝造成了损失,人
内蒙古,暴雨洪涝造成了损失,农作物
内蒙古,暴雨洪涝造成了损失,房屋
辽宁,暴雨洪涝造成了损失,人
辽宁,暴雨洪涝造成了损失,农作物
辽宁,暴雨洪涝造成了损失,房屋
吉林,暴雨洪涝造成了损失,人
吉林,暴雨洪涝造成了损失,农作物
吉林,暴雨洪涝造成了损失,房屋
黑龙江,暴雨洪涝造成了损失,人
黑龙江,暴雨洪涝造成了损失,农作物
黑龙江,暴雨洪涝造成了损失,房屋
鞍山,暴雨洪涝造成了损失,人
鞍山,暴雨洪涝造成了损失,农作物
鞍山,暴雨洪涝造成了损失,房屋
丹东,暴雨洪涝造成了损失,人
丹东,暴雨洪涝造成了损失,农作物
丹东,暴雨洪涝造成了损失,房屋
大连,暴雨洪涝造成了损失,人
大连,暴雨洪涝造成了损失,农作物
大连,暴雨洪涝造成了损失,房屋
岫岩,暴雨洪涝造成了损失,人
岫岩,暴雨洪涝造成了损失,农作物
岫岩,暴雨洪涝造成了损失,房屋
内蒙古自治区,暴雨洪涝造成了损失,人
内蒙古自治区,暴雨洪涝造成了损失,农作物
内蒙古自治区,暴雨洪涝造成了损失,房屋
赤峰,暴雨洪涝造成了损失,人
赤峰,暴雨洪涝造成了损失,农作物
赤峰,暴雨洪涝造成了损失,房屋
通辽,暴雨洪涝造成了损失,人
通辽,暴雨洪涝造成了损失,农作物
通辽,暴雨洪涝造成了损失,房屋
辽宁省,暴雨洪涝造成了损失,人
辽宁省,暴雨洪涝造成了损失,农作物
辽宁省,暴雨洪涝造成了损失,房屋
阜新,暴雨洪涝造成了损失,人
阜新,暴雨洪涝造成了损失,农作物
阜新,暴雨洪涝造成了损失,房屋
朝阳,暴雨洪涝造成了损失,人
朝阳,暴雨洪涝造成了损失,农作物
朝阳,暴雨洪涝造成了损失,房屋
葫芦岛,暴雨洪涝造成了损失,人
葫芦岛,暴雨洪涝造成了损失,农作物
葫芦岛,暴雨洪涝造成了损失,房屋
吉林省,暴雨洪涝造成了损失,人
吉林省,暴雨洪涝造成了损失,农作物
吉林省,暴雨洪涝造成了损失,房屋
长春,暴雨洪涝造成了损失,人
长春,暴雨洪涝造成了损失,农作物
长春,暴雨洪涝造成了损失,房屋
延边,暴雨洪涝造成了损失,人
延边,暴雨洪涝造成了损失,农作物
延边,暴雨洪涝造成了损失,房屋
黑龙江省,暴雨洪涝造成了损失,人
黑龙江省,暴雨洪涝造成了损失,农作物
黑龙江省,暴雨洪涝造成了损失,房屋
漯河,暴雨洪涝造成了损失,人
漯河,暴雨洪涝造成了损失,农作物
漯河,暴雨洪涝造成了损失,房屋
鸡西,暴雨洪涝造成了损失,人
鸡西,暴雨洪涝造成了损失,农作物
鸡西,暴雨洪涝造成了损失,房屋
鹤岗,暴雨洪涝造成了损失,人
鹤岗,暴雨洪涝造成了损失,农作物
鹤岗,暴雨洪涝造成了损失,房屋
8月4日,暴雨洪涝发生于,内蒙古
8月4日,暴雨洪涝发生于,辽宁
8月4日,暴雨洪涝发生于,吉林
8月4日,暴雨洪涝发生于,黑龙江
8月4日,暴雨洪涝发生于,鞍山
8月4日,暴雨洪涝发生于,丹东
8月4日,暴雨洪涝发生于,大连
8月4日,暴雨洪涝发生于,岫岩
8月4日,暴雨洪涝发生于,内蒙古自治区
8月4日,暴雨洪涝发生于,赤峰
8月4日,暴雨洪涝发生于,通辽
8月4日,暴雨洪涝发生于,辽宁省
8月4日,暴雨洪涝发生于,阜新
8月4日,暴雨洪涝发生于,朝阳
8月4日,暴雨洪涝发生于,葫芦岛
8月4日,暴雨洪涝发生于,吉林省
8月4日,暴雨洪涝发生于,长春
8月4日,暴雨洪涝发生于,延边
8月4日,暴雨洪涝发生于,黑龙江省
8月4日,暴雨洪涝发生于,漯河
8月4日,暴雨洪涝发生于,鸡西
8月4日,暴雨洪涝发生于,鹤岗
8月4日,暴雨洪涝造成了损失,人
8月4日,暴雨洪涝造成了损失,农作物
8月4日,暴雨洪涝造成了损失,房屋
8月2日,暴雨洪涝发生于,内蒙古
8月2日,暴雨洪涝发生于,辽宁
8月2日,暴雨洪涝发生于,吉林
8月2日,暴雨洪涝发生于,黑龙江
8月2日,暴雨洪涝发生于,鞍山
8月2日,暴雨洪涝发生于,丹东
8月2日,暴雨洪涝发生于,大连
8月2日,暴雨洪涝发生于,岫岩
8月2日,暴雨洪涝发生于,内蒙古自治区
8月2日,暴雨洪涝发生于,赤峰
8月2日,暴雨洪涝发生于,通辽
8月2日,暴雨洪涝发生于,辽宁省
8月2日,暴雨洪涝发生于,阜新
8月2日,暴雨洪涝发生于,朝阳
8月2日,暴雨洪涝发生于,葫芦岛
8月2日,暴雨洪涝发生于,吉林省
8月2日,暴雨洪涝发生于,长春
8月2日,暴雨洪涝发生于,延边
8月2日,暴雨洪涝发生于,黑龙江省
8月2日,暴雨洪涝发生于,漯河
8月2日,暴雨洪涝发生于,鸡西
8月2日,暴雨洪涝发生于,鹤岗
8月2日,暴雨洪涝造成了损失,人
8月2日,暴雨洪涝造成了损失,农作物
8月2日,暴雨洪涝造成了损失,房屋
8月3日,暴雨洪涝发生于,内蒙古
8月3日,暴雨洪涝发生于,辽宁
8月3日,暴雨洪涝发生于,吉林
8月3日,暴雨洪涝发生于,黑龙江
8月3日,暴雨洪涝发生于,鞍山
8月3日,暴雨洪涝发生于,丹东
8月3日,暴雨洪涝发生于,大连
8月3日,暴雨洪涝发生于,岫岩
8月3日,暴雨洪涝发生于,内蒙古自治区
8月3日,暴雨洪涝发生于,赤峰
8月3日,暴雨洪涝发生于,通辽
8月3日,暴雨洪涝发生于,辽宁省
8月3日,暴雨洪涝发生于,阜新
8月3日,暴雨洪涝发生于,朝阳
8月3日,暴雨洪涝发生于,葫芦岛
8月3日,暴雨洪涝发生于,吉林省
8月3日,暴雨洪涝发生于,长春
8月3日,暴雨洪涝发生于,延边
8月3日,暴雨洪涝发生于,黑龙江省
8月3日,暴雨洪涝发生于,漯河
8月3日,暴雨洪涝发生于,鸡西
8月3日,暴雨洪涝发生于,鹤岗
8月3日,暴雨洪涝造成了损失,人
8月3日,暴雨洪涝造成了损失,农作物
8月3日,暴雨洪涝造成了损失,房屋
辽宁,暴雨洪涝造成了损失,群众
辽宁,暴雨洪涝造成了损失,人
辽宁,暴雨洪涝造成了损失,房屋
辽宁,暴雨洪涝造成了损失,农作物
吉林,暴雨洪涝造成了损失,群众
吉林,暴雨洪涝造成了损失,人
吉林,暴雨洪涝造成了损失,房屋
吉林,暴雨洪涝造成了损失,农作物
黑龙江,暴雨洪涝造成了损失,群众
黑龙江,暴雨洪涝造成了损失,人
黑龙江,暴雨洪涝造成了损失,房屋
黑龙江,暴雨洪涝造成了损失,农作物
昨天,暴雨洪涝发生于,辽宁
昨天,暴雨洪涝发生于,吉林
昨天,暴雨洪涝发生于,黑龙江
昨天,暴雨洪涝造成了损失,群众
昨天,暴雨洪涝造成了损失,人
昨天,暴雨洪涝造成了损失,房屋
昨天,暴雨洪涝造成了损失,农作物
山西,暴雨洪涝造成了损失,人
山西,暴雨洪涝造成了损失,房屋
山西,暴雨洪涝造成了损失,农作物
山西,暴雨洪涝造成了损失,1
内蒙,暴雨洪涝造成了损失,人
内蒙,暴雨洪涝造成了损失,房屋
内蒙,暴雨洪涝造成了损失,农作物
内蒙,暴雨洪涝造成了损失,1
辽宁,暴雨洪涝造成了损失,人
辽宁,暴雨洪涝造成了损失,房屋
辽宁,暴雨洪涝造成了损失,农作物
辽宁,暴雨洪涝造成了损失,1
吉林,暴雨洪涝造成了损失,人
吉林,暴雨洪涝造成了损失,房屋
吉林,暴雨洪涝造成了损失,农作物
吉林,暴雨洪涝造成了损失,1
内蒙古自治区,暴雨洪涝造成了损失,人
内蒙古自治区,暴雨洪涝造成了损失,房屋
内蒙古自治区,暴雨洪涝造成了损失,农作物
内蒙古自治区,暴雨洪涝造成了损失,1
辽宁省,暴雨洪涝造成了损失,人
辽宁省,暴雨洪涝造成了损失,房屋
辽宁省,暴雨洪涝造成了损失,农作物
辽宁省,暴雨洪涝造成了损失,1
山西省,暴雨洪涝造成了损失,人
山西省,暴雨洪涝造成了损失,房屋
山西省,暴雨洪涝造成了损失,农作物
山西省,暴雨洪涝造成了损失,1
大同市,暴雨洪涝造成了损失,人
大同市,暴雨洪涝造成了损失,房屋
大同市,暴雨洪涝造成了损失,农作物
大同市,暴雨洪涝造成了损失,1
阳高县,暴雨洪涝造成了损失,人
阳高县,暴雨洪涝造成了损失,房屋
阳高县,暴雨洪涝造成了损失,农作物
阳高县,暴雨洪涝造成了损失,1
天镇县,暴雨洪涝造成了损失,人
天镇县,暴雨洪涝造成了损失,房屋
天镇县,暴雨洪涝造成了损失,农作物
